Job_Type,Quantity,Color_Type (BW / Full Color),Material_Type,Requested_Deadline_Date,Order_Request_Date,Current_Queued_Jobs_Count,Active_Machines_Count,Total_Machines_Count,Available_Staff_Count,Total_Staff_Count,Delay_Risk_Level
Business Cards,,BW,Canvas,2024-08-15,2024-08-08,116,4,6,9,11,High
Brochures,436,Full Color,Vinyl,2018-07-23,2018-07-18,159,7,8,10,11,High
Business Cards,402,BW,Glossy Paper,2018-01-03,2017-12-31,132,5,6,10,12,Low
Business Cards,896,BW,Cardboard,2023-06-25,2023-06-20,53,5,6,10,12,Low
,,BW,Glossy Paper,2020-12-16,2020-12-09,21,4,6,10,12,Low
Flyers,282,Full Color,Glossy Paper,2018-05-26,2018-05-23,103,4,6,10,11,High
Business Cards,847,Full Color,Matte Paper,2019-01-25,2019-01-22,,3,4,10,11,Low
Flyers,,BW,Cardboard,2023-09-12,2023-09-07,124,6,7,10,12,Medium
Stickers,624,BW,Cardboard,2019-08-16,2019-08-13,16,5,7,8,9,Low
Brochures,,BW,Glossy Paper,2017-02-13,2017-02-08,,5,7,8,10,Low
Business Cards,,Full Color,Matte Paper,2024-07-21,2024-07-17,,3,5,9,11,High
Stickers,,Full Color,Matte Paper,2021-09-05,2021-08-30,195,7,9,10,11,
Brochures,,BW,Matte Paper,2021-05-17,2021-05-13,74,6,8,9,10,Low
Banners,,Full Color,Glossy Paper,2016-04-05,2016-04-04,53,4,5,10,12,Medium
Brochures,,Full Color,Vinyl,2015-01-24,2015-01-22,56,4,6,9,11,High
Business Cards,902,BW,Cardboard,2017-01-22,2017-01-17,173,4,6,10,11,High
Brochures,958,Full Color,Canvas,2024-12-12,2024-12-11,64,4,5,11,13,Low
Flyers,767,,Vinyl,2017-12-21,2017-12-18,,5,7,8,9,Low
Posters,,BW,Vinyl,2025-04-18,2025-04-11,71,5,7,10,12,Low
Business Cards,,Full Color,Cardboard,2022-07-14,2022-07-10,30,4,5,12,14,Medium
Business Cards,581,Full Color,Glossy Paper,2015-07-16,2015-07-09,1,5,7,9,11,High
Brochures,382,BW,Glossy Paper,2022-07-03,2022-06-27,161,3,4,11,13,Low
Brochures,,BW,,2016-07-22,2016-07-16,66,4,6,10,12,
Business Cards,76,Full Color,Cardboard,2024-12-21,2024-12-17,133,4,6,10,12,Low
Flyers,733,Full Color,Matte Paper,2022-11-23,2022-11-19,88,5,6,8,10,High
Stickers,493,Full Color,Matte Paper,2023-10-09,2023-10-08,71,6,8,10,11,Medium
Stickers,941,Full Color,Cardboard,2025-08-31,2025-08-26,188,4,6,10,12,Low
Business Cards,,Full Color,,2020-09-06,2020-08-30,180,5,6,10,11,Medium
Posters,,BW,Matte Paper,2021-01-24,2021-01-23,,5,7,11,13,High
Business Cards,,Full Color,Matte Paper,2021-09-03,2021-09-01,31,3,5,10,12,Medium
Business Cards,,BW,Canvas,2021-06-22,2021-06-21,10,5,7,9,11,High
Banners,226,BW,Matte Paper,2015-09-05,2015-08-30,112,4,6,8,10,
